"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\blog\src\context\BlogContext.js", "JavaScript", 17, 9, 8, 34
"h:\blog\src\screens\IndexScreen.js", "JavaScript", 24, 2, 4, 30
"Total", "-", 41, 11, 12, 64
