"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\blog\src\context\BlogContext.js", "JavaScript", 33, 33, 17, 83
"h:\blog\src\context\createDataContext.js", "JavaScript", 15, 7, 6, 28
"h:\blog\src\screens\CreateScreen.js", "JavaScript", 36, 7, 4, 47
"h:\blog\src\screens\EditScreen.js", "JavaScript", 7, 0, 4, 11
"h:\blog\src\screens\IndexScreen.js", "JavaScript", 61, 6, 11, 78
"h:\blog\src\screens\ShowScreen.js", "JavaScript", 18, 2, 5, 25
"Total", "-", 170, 55, 47, 272
